1778	-6.9328	107.6257	0	1778	1778-1103	
1779	-6.9309	107.6260	0	1779	1779-1780	
1780	-6.9296	107.6263	0	1780	1780-1100	
2429	-6.9267	107.6236	0	2429	2429-2430	
2430	-6.9262	107.6216	0	2430	2430-2432	
2431	-6.9255	107.6198	0	2431	2431-1396	
2432	-6.9261	107.6211	0	2432	2432-2431	
2433	-6.9240	107.6199	0	2433	2433-2434	
2434	-6.9232	107.6197	0	2434	2434-2435	
2435	-6.9228	107.6195	0	2435	2435-1096	
2436	-6.9226	107.6177	0	2436	2436-2437	
2437	-6.9226	107.6176	0	2437	2437-2438	
2438	-6.9226	107.6175	0	2438	2438-2439	
2439	-6.9224	107.6175	0	2439	2439-2440	
2440	-6.9223	107.6176	0	2440	2440-1093	
2441	-6.9100	107.6124	0	2441	2441-2442	
2442	-6.9099	107.6122	0	2442	2442-2443	
2443	-6.9099	107.6120	0	2443	2443-1761	
