1013	-6.8950	107.5984	0	1013	1013-1014
1014	-6.8949	107.5972	0	1014	1014-1015
1015	-6.8929	107.5970	0	1015	1015-1016
1016	-6.8927	107.5950	0	1016	1016-1017
1017	-6.8925	107.5933	0	1017	1017-1018
1018	-6.8922	107.5914	0	1018	1018-1019
1019	-6.8932	107.5903	0	1019	1019-1020
1020	-6.8952	107.5904	0	1020	1020-1021
1021	-6.8961	107.5904	0	1021	1021-1022
1022	-6.9001	107.5970	0	1022	1022-1023
1023	-6.9002	107.5958	0	1023	1023-1024
1024	-6.8991	107.5942	0	1024	1024-1025
1025	-6.8977	107.5927	0	1025	1025-1026
1026	-6.8966	107.5910	0	1026	1026-1027
1027	-6.8957	107.5893	0	1027	1027-1028
1028	-6.8945	107.5877	0	1028	1028-1029
1029	-6.8933	107.5860	0	1029	1029-1030
1030	-6.8924	107.5843	0	1030	1030-1031
1031	-6.8923	107.5823	0	1031	1031-1032
1032	-6.8921	107.5804	0	1032	1032-1033
1033	-6.8914	107.5785	0	1033	1033-1034
1034	-6.8910	107.5766	0	1034	1034-1035
1035	-6.8909	107.5746	0	1035	1035-1036
1036	-6.8903	107.5727	0	1036	1036-1037
1037	-6.8898	107.5707	0	1037	1037-1038
1038	-6.8895	107.5688	0	1038	1038-1039
1039	-6.8891	107.5668	0	1039	1039-1040
1040	-6.8888	107.5648	0	1040	1040-1041
1041	-6.8903	107.5636	0	1041	1041-1042
1042	-6.8919	107.5625	0	1042	1042-1043
1043	-6.8937	107.5616	0	1043	1043-1044
1044	-6.8949	107.5605	0	1044	1044-1045
1045	-6.8952	107.5603	0	1045	1045-1046
