1	-6.9131	107.6487
2	-6.9137	107.6597
3	-6.9154	107.659
4	-6.9173	107.6594
5	-6.9173	107.6576
6	-6.9169	107.6556
7	-6.9157	107.6547
8	-6.9139	107.6552
9	-6.9125	107.6547
10	-6.9127	107.6527
11	-6.9129	107.6507
12	-6.9131	107.6487
13	-6.9134	107.6467
14	-6.9136	107.6447
15	-6.9138	107.6428
16	-6.9141	107.6408
17	-6.9144	107.6388
18	-6.9147	107.6368
19	-6.9143	107.6349
20	-6.9162	107.6346
21	-6.9177	107.6335
22	-6.9186	107.6317
23	-6.917	107.6307
24	-6.9161	107.6294
25	-6.9171	107.6277
26	-6.9167	107.6258
27	-6.9163	107.6238
28	-6.9158	107.6219
29	-6.9153	107.6199
30	-6.9142	107.6189
31	-6.9122	107.6187
32	-6.9114	107.6173
33	-6.9119	107.6153
34	-6.9125	107.6135
35	-6.9111	107.6126
36	-6.9098	107.6117
37	-6.9108	107.6106
38	-6.9128	107.6104
39	-6.9139	107.6094
40	-6.9122	107.6091
41	-6.9102	107.6089
42	-6.9085	107.6078
43	-6.9072	107.6065
44	-6.9071	107.6046
45	-6.9091	107.6045
46	-6.911	107.6041
47	-6.9127	107.6036
48	-6.9125	107.6016
49	-6.9124	107.5996
50	-6.9119	107.5979
51	-6.9099	107.5978
52	-6.9079	107.5976
53	-6.9064	107.5971
54	-6.9066	107.5952
55	-6.9069	107.5932
56	-6.907	107.5912
57	-6.9069	107.5892
58	-6.9069	107.5872
59	-6.9072	107.5852
60	-6.9075	107.5833
61	-6.9075	107.5813
62	-6.9076	107.5793
63	-6.9088	107.5801
64	-6.91	107.5818
65	-6.9111	107.5834
66	-6.9122	107.5851
67	-6.9133	107.5867
68	-6.9145	107.5889
69	-6.9145	107.5904
