1552	-6.8655	107.6213	0	1552	1552-230
1553	-6.8673	107.6206	0	1553	1553-229
1554	-6.8815	107.6157	0	1554	1554-221
1555	-6.9050	107.6105	0	1555	1555-209
1556	-6.9164	107.6089	0	1556	1556-1557
1557	-6.9164	107.6084	0	1557	1557-1558
1558	-6.9161	107.6079	0	1558	1558-888
1559	-6.9156	107.6075	0	1559	1559-889
1560	-6.9264	107.5855	0	1560	1560-897
1561	-6.9269	107.5857	0	1561	1561-898
1562	-6.9260	107.5886	0	1562	1562-899
1563	-6.9475	107.6128	0	1563	1563-1564
1564	-6.9474	107.6130	0	1564	1564-1565
1565	-6.9474	107.6143	0	1565	1565-906
1566	-6.9454	107.6144	0	1566	1566-907
1567	-6.9454	107.6161	0	1567	1567-908
1568	-6.9437	107.6161	0	1568	1568-909
1569	-6.9440	107.6198	0	1569	1569-1570
1570	-6.9438	107.6198	0	1570	1570-911
1571	-6.9441	107.6209	0	1571	1571-1572
1572	-6.9449	107.6210	0	1572	1572-912
1573	-6.9368	107.6926	0	1573	1573-915
1574	-6.9326	107.6930	0	1574	1574-917
1575	-6.9209	107.6976	0	1575	1575-923
1576	-6.9192	107.6981	0	1576	1576-924
1577	-6.9173	107.6989	0	1577	1577-925
1578	-6.9156	107.6993	0	1578	1578-926
1579	-6.9142	107.6993	0	1579	1579-927
1580	-6.9143	107.7028	0	1580	1580-928
1581	-6.9459	107.6629	0	1581	1581-931
1582	-6.9441	107.6634	0	1582	1582-1583
1583	-6.9438	107.6635	0	1583	1583-932
1584	-6.9430	107.6636	0	1584	1584-1585
1585	-6.9426	107.6635	0	1585	1585-933
1586	-6.9081	107.6301	0	1586	1586-1587
1587	-6.9083	107.6298	0	1587	1587-1588
1588	-6.9083	107.6296	0	1588	1588-1589
1589	-6.9081	107.6293	0	1589	1589-935
1590	-6.9094	107.6277	0	1590	1590-1591
1591	-6.9095	107.6277	0	1591	1591-936
1592	-6.9098	107.6275	0	1592	1592-1593
1593	-6.9100	107.6276	0	1593	1593-1594
1594	-6.9104	107.6276	0	1594	1594-1595
1595	-6.9108	107.6273	0	1595	1595-983
1596	-6.8808	107.5963	0	1596	1596-160
